,Description,Price,Sq_feet
310,1 BHK Residential Apartment for rent in Kukatpally,8000,570
311,(1 RK) Studio Apartment for rent in Dhatu Nagar,4000,150
312,(1 RK) Studio Apartment for rent in Dhatu Nagar,4000,150
313,2 BHK Independent Builder Floor for rent in Neredmet,8500,2000
314,1 BHK Independent Builder Floor for rent in Boduppal,7500,1485
315,2 BHK Independent Builder Floor for rent in Hayathnagar,7000,700
316,2 BHK Independent Builder Floor for rent in Langer House,10000,900
317,2 BHK Residential Apartment for rent in Pocharam,15000,1260
318,2 BHK Residential Apartment for rent in KPHB,23000,1010
319,3 BHK Residential Apartment for rent in Gachibowli,55000,2100
320,2 BHK Residential Apartment for rent in Kapra,12000,1197
321,1 BHK Residential Apartment for rent in Kalyan nagar,9500,600
322,1 Bedroom Independent House for rent in Kondapur,16000,700
323,2 BHK Independent Builder Floor for rent in Balanagar,9500,1000
324,1 Bedroom Independent House for rent in Erragadda,10000,750
325,2 BHK Residential Apartment for rent in OU Colony,11500,1200
326,4 BHK Residential Apartment for rent in Raghavendra Colony,45000,2000
327,1 BHK Independent Builder Floor for rent in East Brundavan Colony Boduppal,5500,700
328,2 BHK Residential Apartment for rent in Saptagiri Colony,16500,1200
329,3 BHK Residential Apartment for rent in Sindhi Colony,17000,1470
330,2 BHK Residential Apartment for rent in Pragatinagar,11000,1000
331,3 BHK Residential Apartment for rent in Rajiv gandhi Nagar,20000,1550
332,2 BHK Independent Builder Floor for rent in Rajendra Nagar,7500,900
333,2 Bedroom Independent House for rent in Parvathapur,5500,200
334,1 BHK Residential Apartment for rent in Kondapur,15000,650
335,3 Bedroom Independent House for rent in Kompally,20000,18000
336,1 BHK Independent Builder Floor for rent in Dilsukh Nagar,6700,850
337,2 BHK Residential Apartment for rent in Hyder Nagar,12000,1300
338,2 BHK Residential Apartment for rent in Hyder Nagar,12000,1300
339,2 BHK Residential Apartment for rent in Hyder Nagar,12000,1300
340,2 BHK Independent Builder Floor for rent in Vivekananda Colony,15000,1800
341,1 BHK Independent Builder Floor for rent in Gandhamguda,6000,630
342,2 Bedroom Independent House for rent in Attapur,14000,1000
343,2 BHK Residential Apartment for rent in Maruthi Nagar,7500,100
344,3 BHK Residential Apartment for rent in Ameerpet,21000,1120
345,3 BHK Residential Apartment for rent in Bandlaguda,13000,1500
346,2 Bedroom Independent House for rent in Gandi Maisamma,1.5,2700
347,1 BHK Independent Builder Floor for rent in Bairagiguda,6000,325
348,1 BHK Residential Apartment for rent in banjara hills rd no 4,12000,650
349,2 BHK Independent Builder Floor for rent in Royal Colony,14000,981
350,3 BHK Residential Apartment for rent in Kokapet,46000,2490
351,2 BHK Residential Apartment for rent in Gangaram,20000,1150
352,2 Bedroom Independent House for rent in Teja Colony,9500,1000
353,1 BHK Independent Builder Floor for rent in Nizampet,6000,170
354,3 BHK Independent Builder Floor for rent in Chandulal Baradari,20,1440
355,Residential property for rent in Cheeriyal,1.8,130680
